measure,location,countrycode,sex,agegrpcode,Age,cause,metric,year,val,upper,lower
Deaths,Finland,FIN,Both,70 to 74,70,Environmental heat and cold exposure,Rate,2009,4.926954352,6.569107791,3.141550405
Deaths,Finland,FIN,Both,75 to 79,75,Environmental heat and cold exposure,Rate,2009,5.809613504,7.911855209,4.258163972
Deaths,Finland,FIN,Both,80 plus,80,Environmental heat and cold exposure,Rate,2009,10.75242908,19.55092012,7.699090202
Deaths,Luxembourg,LUX,Both,30 to 34,30,Environmental heat and cold exposure,Rate,2006,0.067961764,0.096331735,0.047513109
Deaths,Luxembourg,LUX,Both,35 to 39,35,Environmental heat and cold exposure,Rate,2006,0.096295571,0.137083771,0.068906081
Deaths,Luxembourg,LUX,Both,40 to 44,40,Environmental heat and cold exposure,Rate,2006,0.123198117,0.181307007,0.087146498
Deaths,Luxembourg,LUX,Both,45 to 49,45,Environmental heat and cold exposure,Rate,2006,0.177281777,0.248414176,0.126070518
Deaths,Luxembourg,LUX,Both,50 to 54,50,Environmental heat and cold exposure,Rate,2006,0.228795329,0.313010673,0.163658149
Deaths,Luxembourg,LUX,Both,55 to 59,55,Environmental heat and cold exposure,Rate,2006,0.261670311,0.364677817,0.185808631
Deaths,Luxembourg,LUX,Both,60 to 64,60,Environmental heat and cold exposure,Rate,2006,0.300114584,0.406618756,0.211988618
Deaths,Luxembourg,LUX,Both,65 to 69,65,Environmental heat and cold exposure,Rate,2006,0.370167254,0.506837569,0.273797355
Deaths,Luxembourg,LUX,Both,70 to 74,70,Environmental heat and cold exposure,Rate,2006,0.60398279,0.810900019,0.457225178
Deaths,Luxembourg,LUX,Both,75 to 79,75,Environmental heat and cold exposure,Rate,2006,1.025785969,1.417022213,0.760740613
Deaths,Luxembourg,LUX,Both,80 plus,80,Environmental heat and cold exposure,Rate,2006,4.113921023,5.690051694,2.928368303
Deaths,France,FRATNP,Both,Post Neonatal,0,Environmental heat and cold exposure,Rate,2009,0.09068109,0.130951798,0.064810314
Deaths,France,FRATNP,Both,1 to 4,1,Environmental heat and cold exposure,Rate,2009,0.031612359,0.048393622,0.02079604
Deaths,France,FRATNP,Both,5 to 9,5,Environmental heat and cold exposure,Rate,2009,0.016580231,0.029602711,0.012324601
Deaths,France,FRATNP,Both,10 to 14,10,Environmental heat and cold exposure,Rate,2009,0.020358284,0.035539233,0.015233475
