Obs,Age,Pop,CNTRY,deaths,ax,a,MID,LOW,HIGH,width,mx_base,mx_low,mx_mid,mx_high,qx_base,qx_low,qx_mid,qx_high,agecountry,lx_base,dx_base,Lx_base,Tx_base,ex_base,lx_low,dx_low,Lx_low,Tx_low,ex_low,lx_mid,dx_mid,Lx_mid,Tx_mid,ex_mid,lx_high,dx_high,Lx_high,Tx_high,ex_high,DIF_LOW,DIF_MID,DIF_HIGH
1,0,78380,AUT,249,0.06,,467,121,797,1,0.003176831,0.003184221,0.003205354,0.003225509,0.003167372,0.003174719,0.003195725,0.003215759,AUT0,100000,316.737235,99702.267,8343516.438,83.43516438,100000,317.4718667,99701.57645,8342090.946,83.42090946,100000,319.5724929,99699.60186,8338030.473,83.38030473,100000,321.5759028,99697.71865,8334179.313,83.34179313,-0.014254917,-0.05485965,-0.093371251
2,1,321124,AUT,47,1.71,a,467,121,797,4,0.000146361,0.000147282,0.000149917,0.000152429,0.000146312,0.000147233,0.000149865,0.000152376,AUT1,99683.26276,14.58484443,398699.6518,8243814.171,82.70008367,99682.52813,14.67651515,398696.5033,8242389.37,82.68639975,99680.42751,14.93863836,398687.5005,8238330.871,82.64742715,99678.4241,15.18862703,398678.9144,8234481.594,82.61047131,-0.013683913,-0.052656514,-0.089612357
3,5,404547,AUT,38,2.49,,467,121,797,5.00E+00,9.39E-05,9.42E-05,9.51E-05,9.59E-05,9.39E-05,9.42E-05,9.51E-05,9.59E-05,AUT5,99668.67792,9.359893941,498319.8963,7845114.519,78.71193521,99667.85162,9.389855517,498315.6896,7843692.866,78.69832387,99665.48887,9.475527772,498303.6608,7839643.37,78.65955868,99663.23547,9.557234173,498292.1887,7835802.68,78.6228005,-0.013611338,-0.052376527,-0.08913471
4,10,414793,AUT,42,2.63,,467,121,797,5,0.000101255,0.000101584,0.000102524,0.00010342,0.000101231,0.00010156,0.000102499,0.000103395,AUT10,99659.31803,10.08861561,498272.6801,7346794.623,73.71909389,99658.46176,10.12126721,498268.3214,7345377.177,73.70550425,99656.01334,10.21463122,498255.858,7341339.71,73.66680106,99653.67824,10.30367315,498243.9715,7337510.491,73.63010198,-0.013589643,-0.052292828,-0.088991914
5,15,470104,AUT,145,2.98,,467,121,797,5,0.000308442,0.000310252,0.000315428,0.000320364,0.00030825,0.000310058,0.000315227,0.000320157,AUT15,99649.22941,30.71690792,498184.0989,6848521.943,68.72629104,99648.3405,30.89676552,498179.291,6847108.855,68.71272338,99645.79871,31.41104407,498165.5432,6843083.852,68.674083,99643.37456,31.90150648,498152.4318,6839266.52,68.63744378,-0.013567666,-0.052208038,-0.088847264
6,20,544207,AUT,197,2.52,,467,121,797,5,0.000361995,0.000363995,0.000369717,0.000375173,0.00036167,0.000363667,0.000369378,0.000374825,AUT20,99618.5125,36.02901952,498003.2105,6350337.844,63.74656361,99617.44373,36.22758935,497997.3742,6348929.564,63.73311066,99614.38767,36.79536618,497980.6858,6344918.308,63.69479808,99611.47306,37.33683994,497964.7699,6341114.088,63.65847119,-0.013452952,-0.051765526,-0.088092418
7,25,559979,AUT,235,2.77,,467,121,797,5,0.000419659,0.000421543,0.00042693,0.000432068,0.000419266,0.000421147,0.000426524,0.000431652,AUT25,99582.48348,41.7515723,497819.3114,5852334.633,58.76871543,99581.21614,41.9382938,497812.5583,5850932.19,58.75537995,99577.5923,42.47218976,497793.2485,5846937.623,58.71740306,99574.13622,42.98134869,497774.8327,5843149.318,58.68139599,-0.013335476,-0.051312368,-0.087319434
8,30,570842,AUT,311,2.67,,467,121,797,5,0.000544809,0.00054755,0.000555388,0.000562863,0.000544119,0.000546852,0.00055467,0.000562126,AUT30,99540.73191,54.16195768,497577.4622,5354515.322,53.79220364,99539.27785,54.43329956,497569.5596,5353119.632,53.77896794,99535.12011,55.20913985,497546.9633,5349144.374,53.74127613,99531.15487,55.94901625,497525.4131,5345374.485,53.70554066,-0.013235706,-0.050927518,-0.086662979
9,35,544970,AUT,360,2.65,,467,121,797,5,0.000660587,0.00066449,0.00067565,0.000686295,0.000659563,0.000663454,0.000674579,0.00068519,AUT35,99486.56995,65.61765354,497278.6483,4856937.86,48.82003533,99484.84455,66.00359632,497269.1143,4855550.072,48.8069323,99479.91097,67.10708824,497241.8532,4851597.411,48.76961955,99475.20585,68.15939557,497215.8547,4847849.072,48.73424519,-0.013103031,-0.050415777,-0.085790139
10,40,629373,AUT,716,2.63,,467,121,797,5,0.00113764,0.001142272,0.001155515,0.001168147,0.001134581,0.001139188,0.00115236,0.001164922,AUT40,99420.9523,112.8011328,496837.4228,4359659.211,43.85050747,99418.84095,113.256717,496825.7863,4358280.958,43.83757562,99412.80388,114.5592996,496792.5139,4354355.558,43.80075189,99407.04646,115.8014233,496760.7829,4350633.217,43.76584329,-0.012931851,-0.049755577,-0.084664176
11,45,711505,AUT,1316,2.72,,467,121,797,5,0.0018496,0.001855597,0.001872745,0.001889099,0.001841833,0.00184778,0.001864782,0.001880997,AUT45,99308.15117,182.9090617,496123.7232,3862821.789,38.8973286,99305.58423,183.4948355,496109.5529,3861455.172,38.88457232,99298.24458,185.169602,496069.0362,3857563.044,38.84825014,99291.24503,186.7665689,496030.3974,3853872.434,38.81381922,-0.012756282,-0.049078462,-0.083509383
12,50,673175,AUT,2135,2.72,,467,121,797,5,0.003171538,0.003179468,0.003202146,0.003223775,0.003148769,0.003156586,0.003178937,0.003200252,AUT50,99125.24211,312.1224676,494914.5713,3366698.065,33.96408416,99122.0894,312.8873764,494897.0638,3365345.619,33.95152018,99113.07498,315.0742133,494847.0057,3361494.008,33.91574732,99104.47846,317.1593408,494799.269,3357842.037,33.88183954,-0.012563979,-0.048336837,-0.082244621
13,55,558076,AUT,2949,2.67,,467,121,797,5,0.005284227,0.005296304,0.005330839,0.005363778,0.005219957,0.005231742,0.005265438,0.005297571,AUT55,98813.11964,515.800247,492863.7836,2871783.494,29.06277531,98809.20202,516.9442762,492841.5299,2870448.555,29.05041733,98798.00077,520.2147722,492777.9034,2866647.002,29.0152329,98787.31912,523.3328437,492717.2301,2863042.768,28.98188546,-0.012357982,-0.047542418,-0.08088985
14,60,470053,AUT,3997,2.66,,467,121,797,5,0.008503296,0.008518844,0.008563302,0.008605705,0.008337401,0.008352348,0.008395081,0.008435829,AUT60,98297.31939,819.5441901,489568.8635,2378919.71,24.20126739,98292.25775,820.971094,489540.2164,2377607.025,24.18915873,98277.78599,825.0499358,489458.3131,2373869.098,24.15468638,98263.98628,828.938234,489380.2159,2370325.538,24.1220169,-0.012108657,-0.046581016,-0.079250489
15,65,863845,AUT,5571,2.61,,467,121,797,5,0.006449074,0.006459157,0.006487991,0.006515491,0.006351181,0.006360961,0.006388922,0.006415588,AUT65,97477.7752,619.0989985,485909.2294,1889350.847,19.38237555,97471.28665,620.0110071,485874.607,1888066.809,19.37049231,97452.73606,622.6179712,485775.6233,1884410.785,19.33666372,97435.04805,625.1031016,485681.2438,1880945.322,19.30460712,-0.011883241,-0.045711837,-0.077768434
16,75,266641,AUT,8333,2.66,,467,121,797,5,0.031251758,0.031308635,0.031471276,0.031626395,0.029122086,0.029171469,0.029312613,0.029447137,AUT75,96858.6762,2820.726666,477692.8806,1403441.618,14.48958083,96851.27564,2825.29398,477645.1903,1402192.202,14.47778764,96830.11809,2838.343788,477508.866,1398635.162,14.44421622,96809.94494,2850.775726,477378.9095,1395264.078,14.41240442,-0.011793183,-0.045364609,-0.077176408
17,80,426214.01,AUT,43295,13.78,,467,121,797,5,0.101580424,0.101699514,0.102040051,0.102364841,1,1,1,1,AUT80,94037.94954,94037.94954,925748.7369,925748.7369,9.844416445,94025.98166,94025.98166,924547.0114,924547.0114,9.832888687,93991.7743,93991.7743,921126.296,921126.296,9.800073494,93959.16922,93959.16922,917885.1687,917885.1687,9.768979189,-0.011527759,-0.044342951,-0.075437257
18,0,124903,BEL,400,0.06,,2841,91,5007,1,0.003202485,0.003206358,0.003323385,0.00341556,0.003192874,0.003196723,0.003313035,0.003404629,BEL0,100000,319.2873506,99699.86989,8318874.616,83.18874616,100000,319.6722827,99699.50805,8317931.855,83.17931855,100000,331.3035283,99688.57468,8290153.196,82.90153196,100000,340.4629244,99679.96485,8269197.652,82.69197652,-0.009427618,-0.287214205,-0.496769643
