Age,Pop,CNTRY,deaths,ax,MID,LOW,HIGH,meanval,upperval,lowerval,countmeanval,countupperval,countlowerval,perdist,width,mx_base,mx_low,mx_mid,mx_high,qx_base,qx_low,qx_mid,qx_high,lx_base,dx_base,Lx_base,Tx_base,ex_base,lx_low,dx_low,Lx_low,Tx_low,ex_low,lx_mid,dx_mid,Lx_mid,Tx_mid,ex_mid,lx_high,dx_high,Lx_high,Tx_high,ex_high,DIF_LOW,DIF_MID,DIF_HIGH
0,78380,AUT,249,0.14,467,121,797,0.0650673429,0.0917957856,0.0416778316,13.5919130254,18.1594368894,8.4981025802,0.004787210069576289,1,0.0031768308241898443,0.0031842211331770697,0.003205353752264508,0.0032255091404114864,0.0031681751336677263,0.003175525179206344,0.0031965421506603814,0.0032165865292555934,1e5,316.81751336677263,99727.53693850458,8784822.869272964,87.84822869272963,1e5,317.5525179206344,99726.90483458825,8783330.869419228,87.83330869419228,1e5,319.65421506603815,99725.0973750432,8779080.38103355,87.79080381033549,1e5,321.65865292555935,99723.37355848402,8775048.219978556,87.75048219978557,-0.014919998537351375,-0.05742488239414456,-0.09774649294406856
1,321124,AUT,47,1.71,467,121,797,0.0332338374,0.0501747688,0.0180239011,13.5919130254,18.1594368894,8.4981025802,0.0024451184566803797,4,1.4636090731306287e-4,1.4728223157801449e-4,1.4991676212076872e-4,1.524294646615459e-4,1.4631186847945205e-4,1.4723257351886008e-4,1.4986531195265097e-4,1.5237627566939412e-4,99683.18248663323,14.5848326855975,398699.3306796829,8685095.33233446,87.12698687663857,99682.44748207935,14.676503277445157,398696.18073581206,8683603.964584641,87.11266811687942,99680.34578493396,14.938626116607246,398687.1736859288,8679355.283658506,87.071881776822,99678.34134707444,15.188614419369781,398678.5834612774,8675324.846420072,87.03319827737776,-0.014318759759149202,-0.05510509981657208,-0.09378859926080452
5,404547,AUT,38,2.49,467,121,797,0.0137025746,0.0191887491,0.0102715886,13.5919130254,18.1594368894,8.4981025802,0.00100814172180128,5,9.393222542745342e-5,9.423376059725559e-5,9.509600166131797e-5,9.591837030623296e-5,9.391008425761038e-5,9.421147706379997e-5,9.507330852164012e-5,9.589528302687028e-5,99668.59765394764,9.359886403520091,498319.4949548653,8286396.001654778,83.13948622439129,99667.77097880191,9.389847919569466,498315.28637573146,8284907.783848829,83.12524402307467,99665.40715881737,9.475520003745125,498303.25223887747,8280668.109972578,83.08467647934542,99663.15273265507,9.557226238648159,498291.7750254163,8276646.262958794,83.04620148994057,-0.014242201316619685,-0.05480974504587266,-0.0932847344507195
10,414793,AUT,42,2.63,467,121,797,0.0153135919,0.0228236356,0.0116870052,13.5919130254,18.1594368894,8.4981025802,0.0011266693563579018,5,1.0125532494521363e-4,1.0158398765678136e-4,1.025238000386196e-4,1.0342015288834972e-4,1.0123103201614568e-4,1.0155953678690797e-4,1.0249889471305938e-4,1.0339481022456708e-4,99659.23776754411,10.088607489150933,498272.2788379713,7788076.506699912,78.14706073576096,99658.38113088235,10.121259024585541,498267.9182705235,7786592.4974730965,78.1328415042874,99655.93163881362,10.214622844578601,498255.44953792647,7782364.8577336995,78.09233961044676,99653.59550641642,10.303664595581695,498243.5578469906,7778354.487933378,78.05392719054026,-0.014219231473560967,-0.05472112531420237,-0.09313354522069517
15,470104,AUT,145,2.98,467,121,797,0.0955766047,0.130480837,0.06520647339999999,13.5919130254,18.1594368894,8.4981025802,0.007031872888046769,5,3.0844238721644573e-4,3.1025231995357124e-4,3.154278300944426e-4,3.203640102866032e-4,3.0825033073134627e-4,3.1005800359939877e-4,3.152269787434202e-4,3.2015682550303484e-4,99649.14916005496,30.7168831856842,498183.6976962397,7289804.227861941,73.15470617971025,99648.25987185776,30.8967405180223,498178.88794344245,7288324.579202574,73.14051031673772,99645.71701596904,31.411018319665736,498165.1348228395,7284109.408195773,73.10007520973967,99643.29184182084,31.90147999874981,498152.0182195067,7280110.930086387,73.0617264395804,-0.014195862972528062,-0.05463096997057448,-0.09297974012984866
20,544207,AUT,197,2.53,467,121,797,0.1223103959,0.1717666715,0.0742506303,13.5919130254,18.1594368894,8.4981025802,0.008998762401689257,5,3.619946086691277e-4,3.6399541029535524e-4,3.6971671081332814e-4,3.751734425212214e-4,3.616712287728592e-4,3.636684473904284e-4,3.69379393449389e-4,3.7482609927013674e-4,99618.43227686928,36.02912081000117,498003.16945594567,6791620.530165701,68.17634422603405,99617.36313133973,36.22769178310283,497997.3332579944,6790145.691259131,68.16227089153841,99614.30599764938,36.79547192829356,497980.645172584,6785944.273372933,68.1221859190894,99611.39036182208,37.336948892196666,497964.7295453467,6781958.911866881,68.08417076834813,-0.014073334495634526,-0.054158306944643186,-0.09217345768591656
25,559979,AUT,235,2.76,467,121,797,0.11850379679999999,0.1662423803,0.0597849982,13.5919130254,18.1594368894,8.4981025802,0.00871869887473125,5,4.196585943401449e-4,4.21542526708756e-4,4.26929639101644e-4,4.320676364705834e-4,4.192644709578177e-4,4.2114485846100484e-4,4.265217468046756e-4,4.316498721249121e-4,99582.40315605927,41.751363575933304,497818.49272588623,6293617.360709756,63.200095210062315,99581.13543955663,41.93808319007823,497811.7358914374,6292148.358001136,63.186147960929006,99577.51052572108,42.47197373189153,497792.415407446,6287963.628200349,63.14642327371857,99574.05341292989,42.98112742265035,497773.9893392227,6283994.182321534,63.108751395928856,-0.01394724913330947,-0.053671936343747007,-0.09134381413345949
30,570842,AUT,311,2.68,467,121,797,0.1757529491,0.2418394843,0.093753534,13.5919130254,18.1594368894,8.4981025802,0.01293069995162272,5,5.44809246691729e-4,5.475501359292875e-4,5.553877200300746e-4,5.628628724961431e-4,5.441215002664971e-4,5.468554565207278e-4,5.54673024110038e-4,5.621288211484191e-4,99540.65179248333,54.162208790831016,497577.6026380219,5795798.867983869,58.22544622338439,99539.19735636655,54.433553212022645,497569.7009383809,5794336.622109699,58.211606844337204,99535.03855198919,55.20940083854106,497547.1069500005,5790171.212792904,58.1721903866906,99531.07228550724,55.94928433149027,497525.5590878871,5786220.192982311,58.13481217588415,-0.013839379047183797,-0.05325583669378631,-0.09063404750023807
35,544970,AUT,360,2.65,467,121,797,0.2389262249,0.3176789664,0.1170053908,13.5919130254,18.1594368894,8.4981025802,0.01757855751824667,5,6.605868212929152e-4,6.644897984470849e-4,6.756503777474378e-4,6.862948608951733e-4,6.595629296319639e-4,6.634537815136261e-4,6.74579295321532e-4,6.851897916482203e-4,99486.4895836925,65.61760052862009,497278.2465572203,5298221.265345847,53.25568614911018,99484.76380315454,66.00354274819279,497268.7106903144,5296766.921171319,53.24199122241234,99479.82915115064,67.1070330474896,497241.4442280916,5292624.105842903,53.20298749006935,99475.12300117574,68.15933880335669,497215.4405596908,5288694.633894424,53.16600245703556,-0.013694926697844778,-0.052698659040835594,-0.08968369207462246
40,629373,AUT,716,2.63,467,121,797,0.3274344408,0.4487394608,0.1400447935,13.5919130254,18.1594368894,8.4981025802,0.024090386701864863,5,0.0011376401593331776,0.0011422716525668016,0.0011555154266067512,0.0011681467717893624,0.0011345810936449008,0.0011391876621637406,0.0011523596073579289,0.0011649216769830007,99420.87198316389,112.80104166578776,496837.0214470715,4800943.018788627,48.289085812902826,99418.76026040633,113.25662507626969,496825.3831006009,4799498.210481004,48.27557895421083,99412.72211810316,114.55920542640025,496792.10527365527,4795382.661614812,48.23711250877786,99406.963662372393,115.80132681335905,496760.3691673143,4791479.193334733,48.200639239003415,-0.013506858691997081,-0.051973304124963704,-0.08844657389941091
