"Age"	"Pop"	"CNTRY"	"deaths"	"ax"	"MID"	"LOW"	"HIGH"	"meanval"	"upperval"	"lowerval"	"countmeanval"	"countupperval"	"countlowerval"	"perdist"	"width"	"mx_base"	"mx_low"	"mx_mid"	"mx_high"	"qx_base"	"qx_low"	"qx_mid"	"qx_high"
"1"	0	78380	"AUT"	249	0.14	467	121	797	0.0650673429	0.0917957856	0.0416778316	13.5919130254	18.1594368894	8.4981025802	0.00478721006957629	1	0.00317683082418984	0.00318422113317707	0.00320535375226451	0.00322550914041149	0.00316817513366773	0.00317552517920634	0.00319654215066038	0.00321658652925559
"2"	1	321124	"AUT"	47	1.71	467	121	797	0.0332338374	0.0501747688	0.0180239011	13.5919130254	18.1594368894	8.4981025802	0.00244511845668038	4	0.000146360907313063	0.000147282231578014	0.000149916762120769	0.000152429464661546	0.000146311868479452	0.00014723257351886	0.000149865311952651	0.000152376275669394
"3"	5	404547	"AUT"	38	2.49	467	121	797	0.0137025746	0.0191887491	0.0102715886	13.5919130254	18.1594368894	8.4981025802	0.00100814172180128	5	9.39322254274534e-05	9.42337605972556e-05	9.5096001661318e-05	9.5918370306233e-05	9.39100842576104e-05	9.42114770638e-05	9.50733085216401e-05	9.58952830268703e-05
"4"	10	414793	"AUT"	42	2.63	467	121	797	0.0153135919	0.0228236356	0.0116870052	13.5919130254	18.1594368894	8.4981025802	0.0011266693563579	5	0.000101255324945214	0.000101583987656781	0.00010252380003862	0.00010342015288835	0.000101231032016146	0.000101559536786908	0.000102498894713059	0.000103394810224567
"5"	15	470104	"AUT"	145	2.98	467	121	797	0.0955766047	0.130480837	0.0652064734	13.5919130254	18.1594368894	8.4981025802	0.00703187288804677	5	0.000308442387216446	0.000310252319953571	0.000315427830094443	0.000320364010286603	0.000308250330731346	0.000310058003599399	0.00031522697874342	0.000320156825503035
"6"	20	544207	"AUT"	197	2.53	467	121	797	0.1223103959	0.1717666715	0.0742506303	13.5919130254	18.1594368894	8.4981025802	0.00899876240168926	5	0.000361994608669128	0.000363995410295355	0.000369716710813328	0.000375173442521221	0.000361671228772859	0.000363668447390428	0.000369379393449389	0.000374826099270137
"7"	25	559979	"AUT"	235	2.76	467	121	797	0.1185037968	0.1662423803	0.0597849982	13.5919130254	18.1594368894	8.4981025802	0.00871869887473125	5	0.000419658594340145	0.000421542526708756	0.000426929639101644	0.000432067636470583	0.000419264470957818	0.000421144858461005	0.000426521746804676	0.000431649872124912
"8"	30	570842	"AUT"	311	2.68	467	121	797	0.1757529491	0.2418394843	0.093753534	13.5919130254	18.1594368894	8.4981025802	0.0129306999516227	5	0.000544809246691729	0.000547550135929288	0.000555387720030075	0.000562862872496143	0.000544121500266497	0.000546855456520728	0.000554673024110038	0.000562128821148419
"9"	35	544970	"AUT"	360	2.65	467	121	797	0.2389262249	0.3176789664	0.1170053908	13.5919130254	18.1594368894	8.4981025802	0.0175785575182467	5	0.000660586821292915	0.000664489798447085	0.000675650377747438	0.000686294860895173	0.000659562929631964	0.000663453781513626	0.000674579295321532	0.00068518979164822
"10"	40	629373	"AUT"	716	2.63	467	121	797	0.3274344408	0.4487394608	0.1400447935	13.5919130254	18.1594368894	8.4981025802	0.0240903867018649	5	0.00113764015933318	0.0011422716525668	0.00115551542660675	0.00116814677178936	0.0011345810936449	0.00113918766216374	0.00115235960735793	0.001164921676983
